File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 1:09pm (CET)
Showing nodes accounting for 1565.04MB, 94.39% of 1658.11MB total
Dropped 313 nodes (cum <= 8.29MB)
      flat  flat%   sum%        cum   cum%
  390.70MB 23.56% 23.56%   390.70MB 23.56%  github.com/weaviate/sroar.(*Bitmap).fastExpand
  319.68MB 19.28% 42.84%   319.68MB 19.28%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*vertex).appendConnectionAtLevelNoLock
  229.42MB 13.84% 56.68%   229.42MB 13.84%  github.com/weaviate/weaviate/entities/storobj.(*Object).MarshalBinary
  146.03MB  8.81% 65.49%   146.03MB  8.81%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.BinaryQuantizer.Encode
  125.51MB  7.57% 73.06%   271.03MB 16.35%  github.com/weaviate/sroar.NewBitmapWith
      62MB  3.74% 76.79%   575.21MB 34.69%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchNode).insert
      53MB  3.20% 79.99%   611.16MB 36.86%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).AddBatch
   35.53MB  2.14% 82.13%    36.03MB  2.17%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNodeMap).insert
      32MB  1.93% 84.06%       32MB  1.93%  github.com/weaviate/sroar.init
   26.15MB  1.58% 85.64%    26.15MB  1.58%  github.com/weaviate/weaviate/usecases/byteops.Float32FromByteVector (inline)
   23.06MB  1.39% 87.03%    23.06MB  1.39%  google.golang.org/grpc.nopBufferPool.Get
   22.38MB  1.35% 88.38%    22.38MB  1.35%  github.com/weaviate/weaviate/adapters/repos/db/vector/cache.(*shardedLockCache[go.shape.uint64]).Grow
      19MB  1.15% 89.53%   522.70MB 31.52%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).addOne
   17.61MB  1.06% 90.59%    17.61MB  1.06%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.ParseReplaceNode
   15.50MB  0.93% 91.52%    15.50MB  0.93%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw/visited.NewList (inline)
   14.08MB  0.85% 92.37%    14.08MB  0.85%  google.golang.org/protobuf/internal/impl.consumeBytesNoZero
   10.06MB  0.61% 92.98%    10.06MB  0.61%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedDistanceBag[go.shape.uint64]).Load
    9.92MB   0.6% 93.58%     9.92MB   0.6%  github.com/weaviate/weaviate/adapters/repos/db.New
    5.50MB  0.33% 93.91%   341.99MB 20.63%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).doAtLevel
    3.80MB  0.23% 94.14%    10.80MB  0.65%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).put
    1.50MB 0.091% 94.23%    12.06MB  0.73%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).selectNeighborsHeuristic
       1MB  0.06% 94.29%    16.43MB  0.99%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).searchLayerByVectorWithDistancer
    0.59MB 0.036% 94.33%    18.70MB  1.13%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*compactorReplace).writeKeys
    0.50MB  0.03% 94.36%   276.23MB 16.66%  github.com/weaviate/weaviate/adapters/repos/db.(*objectsBatcher).storeSingleBatchInLSM.func1
    0.50MB  0.03% 94.39%   149.03MB  8.99%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedVectorsCompressor[go.shape.uint64]).Preload
         0     0% 94.39%    19.08MB  1.15%  github.com/golang/protobuf/proto.Unmarshal
