File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 12:41pm (CET)
Showing nodes accounting for 829.07MB, 96.88% of 855.78MB total
Dropped 100 nodes (cum <= 4.28MB)
      flat  flat%   sum%        cum   cum%
  570.33MB 66.64% 66.64%   570.33MB 66.64%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw/distancer.Normalize (inline)
   43.01MB  5.03% 71.67%    43.01MB  5.03%  github.com/weaviate/sroar.(*Bitmap).fastExpand
   42.02MB  4.91% 76.58%    42.02MB  4.91%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*vertex).appendConnectionAtLevelNoLock
   32.28MB  3.77% 80.35%    32.28MB  3.77%  google.golang.org/grpc.nopBufferPool.Get
      32MB  3.74% 84.09%       32MB  3.74%  github.com/weaviate/sroar.init
   17.61MB  2.06% 86.15%    17.61MB  2.06%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNodeMap).insert
   15.04MB  1.76% 87.91%    20.04MB  2.34%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*KMeans).recluster
   11.50MB  1.34% 89.25%    46.01MB  5.38%  github.com/weaviate/sroar.NewBitmapWith
    9.92MB  1.16% 90.41%     9.92MB  1.16%  github.com/weaviate/weaviate/adapters/repos/db.New
    8.55MB     1% 91.41%     8.55MB     1%  github.com/weaviate/weaviate/entities/storobj.(*Object).MarshalBinary
    7.54MB  0.88% 92.29%     7.54MB  0.88%  github.com/weaviate/weaviate/usecases/byteops.Float32FromByteVector (inline)
    7.50MB  0.88% 93.17%     7.50MB  0.88%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNodeMulti).insert
       7MB  0.82% 93.99%    61.51MB  7.19%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchNode).insert
    5.69MB  0.66% 94.65%    25.73MB  3.01%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*KMeans).Fit
