File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 12:52pm (CET)
Showing nodes accounting for 1049.89MB, 95.18% of 1103.03MB total
Dropped 146 nodes (cum <= 5.52MB)
      flat  flat%   sum%        cum   cum%
  331.25MB 30.03% 30.03%   331.25MB 30.03%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*vertex).appendConnectionAtLevelNoLock
  197.05MB 17.86% 47.90%   197.05MB 17.86%  github.com/weaviate/sroar.(*Bitmap).fastExpand
  117.03MB 10.61% 58.51%   117.53MB 10.66%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*ProductQuantizer).Encode
      64MB  5.80% 64.31%       64MB  5.80%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*ProductQuantizer).buildGlobalDistances
      57MB  5.17% 69.48%   129.02MB 11.70%  github.com/weaviate/sroar.NewBitmapWith
   49.30MB  4.47% 73.95%    49.30MB  4.47%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.ParseReplaceNode
   32.50MB  2.95% 76.89%   286.56MB 25.98%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchNode).insert
      32MB  2.90% 79.79%       32MB  2.90%  github.com/weaviate/sroar.init
   28.68MB  2.60% 82.39%    28.68MB  2.60%  github.com/weaviate/weaviate/entities/storobj.(*Object).MarshalBinary
   27.50MB  2.49% 84.89%   515.32MB 46.72%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).AddBatch
   23.64MB  2.14% 87.03%    23.64MB  2.14%  github.com/weaviate/weaviate/usecases/byteops.Float32FromByteVector (inline)
   20.61MB  1.87% 88.90%    20.61MB  1.87%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNodeMap).insert
   11.98MB  1.09% 89.98%    11.98MB  1.09%  github.com/weaviate/weaviate/adapters/repos/db/vector/cache.(*shardedLockCache[go.shape.uint8]).Grow
   11.50MB  1.04% 91.03%    11.50MB  1.04%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNodeMulti).insert
   11.50MB  1.04% 92.07%   469.29MB 42.55%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).addOne
    9.92MB   0.9% 92.97%     9.92MB   0.9%  github.com/weaviate/weaviate/adapters/repos/db.New
    7.50MB  0.68% 93.65%   344.28MB 31.21%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).doAtLevel
    6.50MB  0.59% 94.24%     6.50MB  0.59%  github.com/weaviate/weaviate/adapters/repos/db/inverted.(*Analyzer).TextArray
       6MB  0.54% 94.78%        6MB  0.54%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNode).insert
    1.67MB  0.15% 94.93%    51.97MB  4.71%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*compactorReplace).writeKeys
    1.05MB 0.095% 95.03%    24.69MB  2.24%  github.com/weaviate/weaviate/adapters/handlers/grpc/v1.batchFromProto
    0.70MB 0.063% 95.09%     6.70MB  0.61%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).put
    0.50MB 0.045% 95.14%     5.75MB  0.52%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).searchLayerByVectorWithDistancer
    0.50MB 0.045% 95.18%   123.53MB 11.20%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedVectorsCompressor[go.shape.uint8]).Preload
         0     0% 95.18%   125.04MB 11.34%  github.com/weaviate/sroar.(*Bitmap).Set
